rank,alpha_name,config_name,side_mode,trades,avg_R,median_R,total_R,expectancy_R,profit_factor,win_rate,max_drawdown_R,fee_drag_R,avg_hold_bars,turnover,best_symbol,worst_symbol,dominant_symbol_share,start_ts,end_ts,pass_fail,notes
21,reversal_1h_zscore,SCALP_1H_SLOW,long,79577,-0.154076,-0.257789,-12260.9345,-0.154076,0.7018,0.4287,-12260.2503,18590.268278,5.46,,MATICUSDT,BTCUSDT,0.0788,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12260.93)
22,ret_24h_rank,SCALP_1H_FAST,long,83432,-0.14723,-0.172224,-12283.7127,-0.14723,0.6402,0.4102,-12282.544,19639.836421,3.45,,MATICUSDT,BTCUSDT,0.0941,2023-01-02 00:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12283.71)
23,ret_1h_rank,SCALP_1H_SLOW,long,79584,-0.155386,-0.270124,-12366.202,-0.155386,0.7002,0.4254,-12368.4368,18568.159285,5.46,,MATICUSDT,BTCUSDT,0.0953,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12366.20)
24,range_zscore,SCALP_1H_FAST,long,68647,-0.180339,-0.191472,-12379.7436,-0.180339,0.5809,0.4007,-12378.3724,16064.082249,3.44,,DOTUSDT,BTCUSDT,0.1724,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12379.74)
25,trend_pullback_ema,SCALP_1H_FAST,long,84207,-0.150876,-0.187423,-12704.8229,-0.150876,0.6369,0.4058,-12706.7282,19890.91169,3.45,,MATICUSDT,BTCUSDT,0.0969,2023-01-01 23:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12704.82)
26,ret_12h_rank,SCALP_1H_FAST,long,89033,-0.145588,-0.169817,-12962.0952,-0.145588,0.6419,0.4117,-12961.8508,20848.878091,3.47,,MATICUSDT,BTCUSDT,0.0956,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12962.10)
27,volume_zscore,SCALP_1H_FAST,long,68670,-0.18912,-0.204687,-12986.8544,-0.18912,0.5661,0.3951,-12990.2179,16127.849448,3.44,,SOLUSDT,BTCUSDT,0.1662,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-12986.85)
28,breakdown_n_low,SCALP_1H_FAST,short,86989,-0.164454,-0.160179,-14305.6793,-0.164454,0.6067,0.4173,-14306.2733,20744.332571,3.44,,MATICUSDT,BTCUSDT,0.1167,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-14305.68)
29,breakout_n_high,SCALP_1H_FAST,long,87774,-0.163903,-0.177538,-14386.4497,-0.163903,0.6102,0.41,-14387.6294,21213.997207,3.44,,MATICUSDT,BTCUSDT,0.1182,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-14386.45)
30,ret_4h_rank,SCALP_1H_FAST,long,99578,-0.151913,-0.180785,-15127.2236,-0.151913,0.6301,0.4069,-15131.316,23168.048735,3.47,,MATICUSDT,BTCUSDT,0.094,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-15127.22)
31,reversal_4h_zscore,SCALP_1H_FAST,long,100581,-0.152772,-0.160016,-15366.0019,-0.152772,0.6267,0.4183,-15367.6489,23357.794409,3.46,,MATICUSDT,BTCUSDT,0.0798,2023-01-01 15:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-15366.00)
32,ret_1h_rank,SCALP_1H_FAST,long,111296,-0.154088,-0.180733,-17149.4113,-0.154088,0.6262,0.407,-17150.3645,25890.905473,3.47,,MATICUSDT,BTCUSDT,0.0936,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-17149.41)
33,reversal_1h_zscore,SCALP_1H_FAST,long,111643,-0.153727,-0.162331,-17162.5759,-0.153727,0.6252,0.4157,-17161.8916,25974.239965,3.46,,MATICUSDT,BTCUSDT,0.0795,2023-01-01 16:00:00+00:00,2026-05-31 23:00:00+00:00,REJECT,negative total R (-17162.58)
